Username,Comment
@raviguptacomedy,"Ticket link - https://in.bookmyshow.com/events/kal-ki-chinta-nahi-karta-ft-ravi-gupta/ET00329412


Any issues related to show in your city or bookmyshow, please contact: 9041891630 ( Yash )"
@k2mountains110,One of my favourite show on YouTube ❤❤❤
@MinivlogMpradeep,Bahut logic wali hasi h 😂😂😂
@AJHunter-b3i,video शानदार thi...
@AZHARARTGALLERY,लाफिंग ज्यादा हसी कम
@reenasingoria11,Bahut hasi aayi😂😂😂
@i_am_POSSIBLE,7 months ho gaye bhai waiting for next video
@IT.Installer,Bhaiya baar baar dekh chuka har baar utna hi maza aata hai 😅😅😅😅
@Sbogati1971,You are my life saving medicine.
@rc8422,Gillis brought me here.
@adityarawat2513,Pura Paisa wasool ke chala gaya Ravi Bhai too 😂
@MeeshamJaved,Kolkata main kam aare ho bhai
@dewarists1118,Stand up me hasi aati hai yakeen na ho to bhai ki suno ❤
@chunotiyamedicine,Agar kisi cheez ko dil se chaaho to duniya ko ghana farak padta hai. Was epic
@avinashhiwrale7079,Leo jaisa
@RohitSinghania-fi4we,Hasna bhi tha kya ispe😐
@Sdghjjjnndjdndbdbdbdb,Bhai tere sabdo ka bann bht prachnd hai😂❤
@Jasonn1918,love from pakistan ..plx come to pakistan❤
@AdityaKumar-sh8vh,Bhai Syd ye wo set hai jo nhi perform nhi Krna hota hai
@sumanrohilla3147,Shandar 😂😂😂😂
@amarbansijani,"10.50,aap humare partner ho(delivery partner is silent)😂"
@mefha,Ravi gupta is iconic...he needs his own show on ott❤
@bajrangentertainment8321,Gajab 🎉❤😊😊
@naumanashraf1860,Bhai ticket book main Lahore to hay e nai
@hemantkumar80100,😂 mast
@pranavsharma4705,0:02 When Arijit Singh Start doing Stand up Comedy
@kartiknair8933,Best comic ❤️
@balbindrakumar158,hi hi hi hi ha ha ha ha  😂😂😂😂
@rubyvishwakrma1038,🏍
@GaytriParte,😂😂
@thatcutehuman,momos nahi bhai momo hota hai
@LovelySid-l,Lovely be soch raha gobar ki hi kheti kar loon scope jyada h
@aryanpatil7696,Man is the living essence of ‘he had has in the first half’
